City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,flying fish cove,-10.4217,105.6791,25.82,88,75,4.63,CX,1730912665
223,sisimiut,66.9395,-53.6735,-8.94,77,17,5.25,GL,1730912666
224,grande prairie,55.1667,-118.8027,3.1,75,75,1.54,CA,1730912376
225,susuman,62.7833,148.1667,-33.63,100,99,0.11,RU,1730912669
226,galliano,29.4422,-90.2992,27.0,78,75,1.54,US,1730912670
227,saijo,33.9167,133.1833,12.13,75,20,2.79,JP,1730912671
228,la'ie,21.6477,-157.9253,25.98,84,8,2.24,US,1730912672
229,nar'yan-mar,67.6713,53.087,-4.05,91,100,3.89,RU,1730912673
230,kargasok,59.0556,80.8572,-1.83,67,100,7.93,RU,1730912675
231,whitehorse,60.7161,-135.0538,0.43,74,100,2.06,CA,1730912676
232,chaksu,26.6,75.95,24.51,34,0,1.94,IN,1730912677
233,siwa oasis,29.2041,25.5195,22.96,50,15,5.61,EG,1730912678
234,luganville,-15.5333,167.1667,24.6,85,100,3.04,VU,1730912679
235,bomdila,27.25,92.4,3.06,80,94,3.36,IN,1730912681
236,amungan,15.3652,119.9582,26.18,82,100,1.45,PH,1730912682
237,ambon,-3.6954,128.1814,27.15,95,40,1.54,ID,1730912683
238,hauterive,46.0901,3.4459,15.75,85,18,2.04,FR,1730912684
239,kuqa,41.7278,82.9364,12.65,36,99,2.84,CN,1730912685
240,sastre,-31.7676,-61.8289,29.7,38,57,2.32,AR,1730912686
241,regina,50.4501,-104.6178,-1.65,84,100,2.57,CA,1730912599
242,whakatane,-37.9585,176.9854,12.9,94,100,1.27,NZ,1730912689
243,gadzhiyevo,69.2551,33.3362,2.69,78,87,8.35,RU,1730912690
244,saurimo,-9.6608,20.3916,19.25,93,95,1.5,AO,1730912691
245,mar del plata,-38.0023,-57.5575,24.37,34,0,5.14,AR,1730912692
246,tucuma,-0.1833,-50.05,32.29,50,74,4.53,BR,1730912693
247,awjilah,29.1081,21.2869,20.91,45,0,4.07,LY,1730912695
248,asekeyevo,53.5742,52.7972,-6.03,87,45,5.51,RU,1730912696
249,mumbwa,-14.9783,27.0619,28.34,27,100,0.4,ZM,1730912697
250,midvagur,62.0511,-7.1939,8.46,100,100,4.63,FO,1730912698
251,klaksvik,62.2266,-6.589,9.71,93,100,7.45,FO,1730912699
252,labytnangi,66.6572,66.4183,-12.84,92,37,2.35,RU,1730912700
253,hamilton,39.1834,-84.5333,20.99,91,100,3.6,US,1730912702
254,ardakan,32.31,54.0175,20.35,27,6,3.99,IR,1730912703
255,iskateley,67.6803,53.1512,-3.89,90,100,3.89,RU,1730912704
256,vadso,70.0744,29.7487,2.09,80,75,4.63,NO,1730912705
257,kharkhorin,47.1975,102.8238,-0.01,46,93,1.06,MN,1730912706
258,hereford,52.0568,-2.7148,12.97,98,93,2.13,GB,1730912708
259,sept-iles,50.2001,-66.3821,5.24,96,100,2.06,CA,1730912709
260,dul'durga,50.6761,113.5931,-2.46,67,100,0.4,RU,1730912710
261,enewetak,11.3474,162.3373,28.48,80,35,8.42,MH,1730912711
262,aasiaat,68.7098,-52.8699,-11.97,96,99,3.31,GL,1730912713
263,baranchinskiy,58.1617,59.6991,-6.46,86,100,3.15,RU,1730912715
264,hadibu,12.65,54.0333,26.22,75,1,3.74,YE,1730912716
265,fort bragg,35.139,-79.006,28.05,62,40,3.6,US,1730912717
266,east london,-33.0153,27.9116,16.52,59,0,2.06,ZA,1730912433
267,rahimah,26.7079,50.0619,26.54,64,0,6.14,SA,1730912719
268,kavaratti,10.5669,72.642,28.08,75,8,2.75,IN,1730912720
269,selfoss,63.9331,-20.9971,3.91,74,100,2.73,IS,1730912722
270,lensk,60.7253,114.9278,-5.89,91,100,3.6,RU,1730912723
271,fortaleza,-3.7227,-38.5247,30.07,62,20,7.72,BR,1730912724
272,okhotsk,59.3833,143.3,-14.58,76,11,5.61,RU,1730912725
273,tura,25.5198,90.2201,18.94,91,8,1.81,IN,1730912726
274,medenine,33.355,10.5055,21.97,60,0,5.2,TN,1730912727
275,ponta delgada,37.7333,-25.6667,18.44,68,20,7.2,PT,1730912729
276,north bend,43.4065,-124.2243,8.95,87,0,2.57,US,1730912730
277,vilyuchinsk,52.9306,158.4028,-8.85,65,0,4.3,RU,1730912731
278,sitia,35.2,26.0986,16.52,67,28,6.15,GR,1730912732
279,edd,13.9297,41.6925,30.29,62,9,7.74,ER,1730912733
280,rakvere,59.3464,26.3558,6.88,94,30,3.92,EE,1730912735
281,road town,18.4167,-64.6167,27.02,83,75,3.6,VG,1730912736
282,ad dabbah,18.05,30.95,26.44,19,8,4.97,SD,1730912737
283,neelankarai,12.9455,80.2575,26.19,94,75,1.03,IN,1730912738
284,tazovsky,67.4667,78.7,-10.8,95,85,4.6,RU,1730912739
285,vila franca do campo,37.7167,-25.4333,18.27,99,42,4.13,PT,1730912740
286,poltavka,54.3663,71.7632,-1.13,91,99,10.9,RU,1730912742
287,balkanabat,39.5108,54.3671,9.97,56,32,2.42,TM,1730912743
288,rurrenabaque,-14.4413,-67.5278,28.83,78,75,1.54,BO,1730912744
289,kirensk,57.7853,108.1119,-9.83,98,100,0.49,RU,1730912745
290,gatton,-27.55,152.2833,21.79,77,53,0.74,AU,1730912746
291,khorixas,-20.3667,14.9667,25.75,21,5,6.44,NA,1730912747
292,ceelbuur,4.685,46.6176,28.18,60,77,7.96,SO,1730912749
293,lycksele,64.5954,18.6735,4.93,87,40,4.12,SE,1730912750
294,long beach,33.767,-118.1892,20.76,48,75,5.36,US,1730912654
295,minas de marcona,-15.2119,-75.1103,20.74,50,81,7.65,PE,1730912752
296,bambanglipuro,-7.95,110.2833,26.09,83,94,3.31,ID,1730912753
297,khandyga,62.6667,135.6,-21.63,97,100,1.31,RU,1730912754
298,surab,28.4914,66.2585,19.05,24,0,2.94,PK,1730912756
299,remire-montjoly,4.9167,-52.2667,34.02,59,20,4.63,GF,1730912757
300,rong'an,26.1247,119.1214,13.34,85,11,1.7,CN,1730912758
301,inarajan village,13.2736,144.7484,26.89,93,100,2.12,GU,1730912759
302,eirunepe,-6.6603,-69.8736,36.33,37,100,1.34,BR,1730912760
303,perm,58.0174,56.2855,-9.3,73,75,5.0,RU,1730912762
304,turpan,42.9333,89.1667,12.82,39,82,1.84,CN,1730912763
305,muynoq,43.7683,59.0214,4.07,42,45,8.15,UZ,1730912764
306,mogocha,53.7333,119.7667,-15.79,99,87,1.09,RU,1730912765
307,winslow,35.0242,-110.6974,1.1,80,0,1.54,US,1730912766
308,dadukou,26.5479,101.7054,16.58,95,100,1.15,CN,1730912767
309,prince rupert,54.3161,-130.3201,11.05,84,75,18.52,CA,1730912770
310,lompoc,34.6391,-120.4579,18.41,54,40,2.06,US,1730912771
311,east ballina,-28.8667,153.5833,20.72,91,16,4.16,AU,1730912772
312,krasnogvardeyskoye,45.8456,41.5186,5.21,86,99,7.19,RU,1730912773
313,chibougamau,49.9168,-74.3659,1.79,93,100,3.6,CA,1730912775
314,port isabel,26.0734,-97.2086,28.37,75,0,4.63,US,1730912776
315,buellton,34.6136,-120.1927,17.8,40,0,1.54,US,1730912777
316,santa elena de uairen,4.6167,-61.1333,29.71,41,29,2.02,VE,1730912778
317,talikota,16.4833,76.3167,23.33,53,4,4.25,IN,1730912779
318,porbandar,21.6422,69.6093,28.32,61,0,4.22,IN,1730912780
319,masterton,-40.9597,175.6575,12.53,98,100,1.35,NZ,1730912519
320,huinca renanco,-34.8404,-64.3758,27.74,34,99,1.77,AR,1730912783
321,ovruch,51.3246,28.8035,4.54,85,1,2.87,UA,1730912784
322,miles city,46.4083,-105.8406,0.54,80,100,8.75,US,1730912785
323,xining,36.6167,101.7667,6.29,40,0,0.9,CN,1730912786
324,itaberai,-16.0203,-49.8103,22.87,86,100,2.45,BR,1730912787
325,katsuura,35.1333,140.3,14.91,79,32,5.34,JP,1730912789
326,marsh harbour,26.5412,-77.0636,26.65,83,100,10.63,BS,1730912790
327,strelka,58.0728,93.0344,-3.09,90,68,2.51,RU,1730912791
328,auki,-8.7676,160.7034,25.0,84,96,2.07,SB,1730912792
329,sittwe,20.15,92.9,23.79,80,29,3.51,MM,1730912793
330,kharp,66.8014,65.8081,-10.02,90,44,3.55,RU,1730912795
331,ibiza,38.9088,1.433,20.9,83,20,2.06,ES,1730912796
332,atafu village,-8.5421,-172.5159,27.73,71,52,2.43,TK,1730912797
333,kitimat,54.0524,-128.6534,7.73,28,100,2.78,CA,1730912798
334,ilhabela,-23.7781,-45.3581,25.34,85,25,1.73,BR,1730912801
335,catriel,-37.8791,-67.7956,22.89,21,100,4.01,AR,1730912802
336,carahue,-38.7,-73.1667,19.41,42,80,2.64,CL,1730912803
337,crespo,-32.0287,-60.3066,29.9,37,23,2.35,AR,1730912804
338,badger,64.8,-147.5333,-5.91,87,75,2.57,US,1730912805
339,kas,36.2018,29.6377,17.03,71,0,1.95,TR,1730912806
340,jiuquan,39.7432,98.5174,12.38,16,100,4.06,CN,1730912809
341,boa vista,2.8197,-60.6733,33.99,40,40,5.66,BR,1730912810
342,nizao,18.25,-70.2,29.96,64,56,8.73,DO,1730912811
343,mushie,-3.0167,16.9,26.36,77,44,0.78,CD,1730912812
344,santiago,-33.4569,-70.6483,27.32,27,0,4.12,CL,1730912709
345,yoko,5.5333,12.3167,23.13,62,39,1.19,CM,1730912815
346,urengoy,65.9667,78.3667,-13.91,97,65,3.6,RU,1730912816
347,mbekenyera,-10.0,38.9833,24.6,73,1,4.54,TZ,1730912817
348,bata,1.8639,9.7658,26.44,84,89,3.02,GQ,1730912818
349,gornozavodsk,58.3758,58.3211,-7.11,93,100,1.63,RU,1730912819
350,akureyri,65.6835,-18.0878,2.8,73,100,1.72,IS,1730912821
351,mount isa,-20.7333,139.5,24.87,41,37,0.0,AU,1730912822
352,fisterra,42.9049,-9.2629,17.17,91,55,2.68,ES,1730912823
353,carauari,-4.8828,-66.8958,36.29,38,100,1.93,BR,1730912824
354,bubaque,11.2833,-15.8333,29.27,64,0,3.6,GW,1730912825
355,chernyshevskiy,63.0128,112.4714,-9.86,94,99,3.28,RU,1730912826
356,kyzylorda,44.8528,65.5092,1.01,51,0,8.0,KZ,1730912829
357,saint-pierre,-21.3393,55.4781,24.82,73,20,2.06,RE,1730912830
358,kariapatti,9.6751,78.0999,27.29,78,40,2.06,IN,1730912831
359,keta,5.9179,0.9879,29.16,64,29,4.32,GH,1730912832
360,kabalo,-6.05,26.9167,21.73,93,97,0.31,CD,1730912833
361,carmarthen,51.8555,-4.3054,14.38,88,100,3.09,GB,1730912835
362,huilong,31.8111,121.655,12.62,64,4,3.21,CN,1730912836
